Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02 00:00:00-05:00,1159.969970703125,1161.2900390625,1140.0,1145.43994140625,1145.43994140625,653300
2014-01-03 00:00:00-05:00,1147.0,1152.68994140625,1131.43994140625,1132.6800537109375,1132.6800537109375,622900
2014-01-06 00:00:00-05:00,1132.280029296875,1144.43994140625,1113.010009765625,1139.530029296875,1139.530029296875,656600
2014-01-07 00:00:00-05:00,1146.8199462890625,1165.8900146484375,1142.0,1163.0699462890625,1163.0699462890625,669400
2014-01-08 00:00:00-05:00,1163.989990234375,1168.0999755859375,1156.510009765625,1157.5,1157.5,508700
2014-01-09 00:00:00-05:00,1157.949951171875,1162.8299560546875,1144.25,1153.68994140625,1153.68994140625,474800
2014-01-10 00:00:00-05:00,1156.4100341796875,1156.4100341796875,1142.43994140625,1148.8399658203125,1148.8399658203125,489700
2014-01-13 00:00:00-05:00,1142.5699462890625,1163.47998046875,1133.6400146484375,1139.719970703125,1139.719970703125,612800
2014-01-14 00:00:00-05:00,1138.8199462890625,1160.9000244140625,1133.030029296875,1159.2099609375,1159.2099609375,624000
2014-01-15 00:00:00-05:00,1160.0999755859375,1174.3399658203125,1160.0999755859375,1172.8599853515625,1172.8599853515625,576400
2014-01-16 00:00:00-05:00,1170.52001953125,1189.989990234375,1170.52001953125,1184.6500244140625,1184.6500244140625,786400
2014-01-17 00:00:00-05:00,1185.2099609375,1186.8599853515625,1167.4300537109375,1178.0400390625,1178.0400390625,610100
2014-01-21 00:00:00-05:00,1181.5,1206.97998046875,1176.5,1205.949951171875,1205.949951171875,754700
2014-01-22 00:00:00-05:00,1207.989990234375,1214.18994140625,1204.469970703125,1213.2900390625,1213.2900390625,632200
2014-01-23 00:00:00-05:00,1207.0,1214.969970703125,1196.1500244140625,1208.8599853515625,1208.8599853515625,531700
2014-01-24 00:00:00-05:00,1195.0,1203.1600341796875,1172.6400146484375,1179.9300537109375,1179.9300537109375,867000
2014-01-27 00:00:00-05:00,1181.0699462890625,1186.989990234375,1138.219970703125,1143.239990234375,1143.239990234375,1203000
2014-01-28 00:00:00-05:00,1154.4000244140625,1168.6400146484375,1150.1700439453125,1162.530029296875,1162.530029296875,632500
2014-01-29 00:00:00-05:00,1150.0,1157.699951171875,1132.969970703125,1133.7900390625,1133.7900390625,684900
2014-01-30 00:00:00-05:00,1145.1600341796875,1162.760009765625,1141.77001953125,1160.0,1160.0,791600
2014-01-31 00:00:00-05:00,1143.43994140625,1161.0400390625,1139.1700439453125,1144.8900146484375,1144.8900146484375,810700
